Trip,Period,Month,Collection date,Year,Rodent ID,Host Species,Sex,Body Weight (g),Tested chigger,OT positive chigger,OT positive chigger-no. sample,RT positive chigger,RT positive chigger-no samples,Rodent ID,Tested samples,Sero-STG,Sero-STG,Sero-MT,Sero-MT,Sero-SFG,Sero-SFG,Sero-STG only,Sero-MTG only,Sero-SFG only,Sero-STG+MT,Sero-STG+SFG,Sero-MT+SFG,Scrub typhus qPCR,Type of tissue,Genotype,Rickett qPCR,Type of tissue,Genotype,Project,Province,District,Tumbon,MuBaan,Moo,Coordinate,Latitude,Longitude,Note,Rodent with chigger,Number of chigger,Leptotrombidium,Scheogastia,Ascoscheogastia,Gahrliepia (Walchia),Blankaartia,Helenicula,trombiculindus,Microtrombicula,Eutrombicula,Lorillatum,Flea,Tick,Mange mite,Lice,Other  mite,Note,Tick stock
73,Jan-Mar,1,13-Jan-23,2023,LS0262,Rattus tanezumi,M,120,,,,,,LS0262,1,N,,N,,1:200,1,,,1,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 43.25 E 101 20 25.29,12.978681,101.340358,Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,13-Jan-23,2023,LS0263,Rattus tanezumi,F,172,,,,,,LS0263,1,1:800,1,N,,N,,1,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 43.25 E 101 20 25.29,12.978681,101.340358,Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,13-Jan-23,2023,LS0264,Rattus tanezumi,F,183,,,,,,LS0264,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 43.25 E 101 20 25.29,12.978681,101.340358,Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,13-Jan-23,2023,LS0265,Rattus tanezumi,M,76,,,,,,LS0265,1,1:200,1,N,,"1:6,400",1,,,,,1,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,13-Jan-23,2023,LS0266,Rattus tanezumi,M,103,,,,,,LS0266,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,13-Jan-23,2023,LS0267,Rattus tanezumi,F,142,,,,,,LS0267,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,1,14,,,14,,,,,,,,,,,,,,
74,Jan-Mar,1,24-Jan-23,2023,LS0268,Bandicota indica,F,402,,,,,,LS0268,1,N,,N,,"1:1,600",1,,,1,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 43.25 E 101 20 25.29,12.978681,101.340358,Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,24-Jan-23,2023,LS0269,Rattus tanezumi,M,159,,,,,,LS0269,1,N,,N,,"1:3,200",1,,,1,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,1,7,,,7,,,,,,,,,,,,,,
74,Jan-Mar,1,24-Jan-23,2023,LS0270,Rattus tanezumi,F,93,,,,,,LS0270,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,1,68,68,,,,,,,,,,,,,,,,
74,Jan-Mar,1,24-Jan-23,2023,LS0271,Rattus tanezumi,M,175,,,,,,LS0271,1,N,,N,,1:800,1,,,1,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,1,14,14,,,,,,,,,,,1,,,,,
